Transaction,OTHERS,beverage,bread,breakfast,breakfast_pastry,condiments,dessert,kids,lunch,snacks,hour,day
1,0,0,1,0,0,0,0,0,0,0,9,6
2,0,0,2,0,0,0,0,0,0,0,10,6
3,0,1,0,0,0,1,1,0,0,0,10,6
4,0,0,0,0,1,0,0,0,0,0,10,6
5,0,1,1,0,1,0,0,0,0,0,10,6
6,0,0,0,0,3,0,0,0,0,0,10,6
7,0,2,0,0,2,0,0,0,0,0,10,6
8,0,0,1,0,1,0,0,0,0,0,10,6
9,0,0,1,0,1,0,0,0,0,0,10,6
10,0,0,1,0,1,0,0,0,0,0,10,6
11,1,0,2,0,1,0,0,0,0,0,10,6
12,0,2,0,0,1,1,1,0,0,0,10,6
13,1,1,1,0,0,0,0,0,0,0,10,6
14,0,0,1,0,2,0,0,0,0,0,10,6
15,2,1,1,0,0,0,0,0,0,0,10,6
16,0,1,1,0,1,0,0,0,0,0,10,6
17,0,1,0,0,0,0,0,0,0,0,10,6
18,1,0,0,0,0,0,0,0,0,0,10,6
19,1,0,1,0,0,0,0,0,0,0,10,6
20,0,0,1,0,1,0,0,0,0,0,10,6
21,0,2,1,0,1,0,0,0,0,0,10,6
22,0,0,0,0,0,1,0,0,0,0,10,6
23,0,0,1,0,1,0,0,0,0,0,10,6
24,0,0,1,0,0,0,0,0,0,0,10,6
25,0,0,1,0,0,0,0,0,0,0,10,6
26,0,0,0,0,0,0,1,0,0,0,10,6
27,0,0,1,0,0,0,0,0,0,0,11,6
28,0,1,1,0,0,0,0,0,0,0,11,6
29,1,0,1,0,0,1,0,0,0,0,11,6
30,0,0,1,0,0,0,0,0,0,0,11,6
31,1,0,0,0,0,0,0,0,0,0,11,6
32,0,0,1,0,1,0,0,0,0,0,11,6
33,0,1,0,0,0,0,0,0,0,0,11,6
34,0,1,0,0,1,0,0,0,0,0,11,6
35,0,0,1,0,1,0,0,0,0,0,11,6
36,0,1,1,0,0,0,0,0,0,0,11,6
37,1,1,1,0,0,0,0,0,0,0,11,6
38,0,1,1,0,0,0,0,0,0,0,11,6
39,0,0,1,0,0,0,0,0,0,0,11,6
40,1,2,0,0,1,0,1,0,0,0,11,6
41,0,0,1,0,0,0,0,0,0,0,11,6
42,0,1,1,0,0,0,0,0,0,0,11,6
43,0,0,1,0,0,0,1,0,0,0,12,6
44,0,1,0,0,1,0,0,0,0,0,12,6
45,0,2,0,0,1,0,0,0,0,0,12,6
46,0,1,0,0,0,0,0,0,0,0,12,6
47,0,1,1,0,1,1,0,1,0,0,12,6
48,0,1,0,0,0,0,0,0,0,0,12,6
49,0,2,0,0,1,0,0,0,0,0,12,6
50,0,0,1,0,0,0,1,0,0,0,12,6
51,0,0,1,0,0,0,0,0,0,0,12,6
52,0,0,1,0,0,0,0,0,0,0,12,6
54,0,0,1,0,0,0,0,0,0,0,12,6
55,1,2,0,1,0,0,0,0,0,0,12,6
56,0,1,0,1,0,0,0,0,0,0,12,6
57,0,0,1,0,0,0,0,0,0,0,12,6
58,0,2,0,0,0,0,1,0,1,0,12,6
59,1,1,0,0,0,0,0,0,0,0,13,6
60,0,3,0,0,0,0,1,0,0,0,13,6
61,0,1,0,0,0,0,0,0,0,0,13,6
62,2,3,0,0,0,0,0,0,0,1,13,6
63,0,1,0,0,0,0,0,0,0,0,13,6
